name,description,path,UI Unit,Units matched to
U2O3,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,kt,
UO2,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,kt,
V2O5,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,kt,
WO3,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,kt,
Y2O3,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,kt,
Zirconia,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/,,
Ochre,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/Iron Oxide/,Mt,
Eu2O3,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/Rare Earth Oxide/,Mt,
Heavy Rare Earth Oxide,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/Rare Earth Oxide/,Mt,
Light Rare Earth Oxide,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/Rare Earth Oxide/,Mt,
Nd2O3,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/Rare Earth Oxide/,Mt,
Pr2O3,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/Rare Earth Oxide/,Mt,
Tb4O7,,Produced Commodity/Chemical Compound Product/Chemical Oxide Product/Rare Earth Oxide/,Mt,
K2SO4,,Produced Commodity/Chemical Compound Product/Potash/,Mt,
Al,,Produced Commodity/Metal/,Mt,
Ba,,Produced Commodity/Metal/,,
Base Metal,,Produced Commodity/Metal/,Mt,
Be,,Produced Commodity/Metal/,t,
Bi,,Produced Commodity/Metal/,t,
Cd,,Produced Commodity/Metal/,t,
Cs,,Produced Commodity/Metal/,t,
Ferrous Metal,,Produced Commodity/Metal/,Mt,
Ga,,Produced Commodity/Metal/,t,
Hf,,Produced Commodity/Metal/,t,
Hg,,Produced Commodity/Metal/,t,
In,,Produced Commodity/Metal/,t,
K,,Produced Commodity/Metal/,,
Li,,Produced Commodity/Metal/,kt,AIMR
Mg,,Produced Commodity/Metal/,Mt,
Mo,,Produced Commodity/Metal/,kt,AIMR
Nb,,Produced Commodity/Metal/,kt,AIMR
Precious Metal,,Produced Commodity/Metal/,,
Ra,,Produced Commodity/Metal/,,
Rb,,Produced Commodity/Metal/,t,
Re,,Produced Commodity/Metal/,t,
REE,,Produced Commodity/Metal/,Mt,AIMR
Sc,,Produced Commodity/Metal/,kt,AIMR
Sn,,Produced Commodity/Metal/,kt,AIMR
Sr,,Produced Commodity/Metal/,kt,
Ta,,Produced Commodity/Metal/,kt,AIMR
Th,,Produced Commodity/Metal/,kt,AIMR
Tl,,Produced Commodity/Metal/,t,
U,,Produced Commodity/Metal/,kt,AIMR
W,,Produced Commodity/Metal/,kt,AIMR
Zr,,Produced Commodity/Metal/,kt,
Co,,Produced Commodity/Metal/Base Metal/,kt,AIMR
Cu,,Produced Commodity/Metal/Base Metal/,Mt,AIMR
Ni,,Produced Commodity/Metal/Base Metal/,Mt,AIMR
Pb,,Produced Commodity/Metal/Base Metal/,Mt,AIMR
Zn,,Produced Commodity/Metal/Base Metal/,Mt,AIMR
Cr,,Produced Commodity/Metal/Ferrous Metal/,kt,AIMR
Fe,,Produced Commodity/Metal/Ferrous Metal/,Mt,AIMR
Mn,,Produced Commodity/Metal/Ferrous Metal/,Mt,
Ti,,Produced Commodity/Metal/Ferrous Metal/,Mt,
V,,Produced Commodity/Metal/Ferrous Metal/,kt,AIMR
Ag,,Produced Commodity/Metal/Precious Metal/,kt,AIMR
Au,,Produced Commodity/Metal/Precious Metal/,t,AIMR
Ir,,Produced Commodity/Metal/Precious Metal/Platinum Group/,t,
Os,,Produced Commodity/Metal/Precious Metal/Platinum Group/,t,
Pd,,Produced Commodity/Metal/Precious Metal/Platinum Group/,t,
PGE,,Produced Commodity/Metal/Precious Metal/Platinum Group/,t,AIMR
Pt,,Produced Commodity/Metal/Precious Metal/Platinum Group/,t,AIMR
Rh,,Produced Commodity/Metal/Precious Metal/Platinum Group/,t,
Ru,,Produced Commodity/Metal/Precious Metal/Platinum Group/,t,
HREE,,Produced Commodity/Metal/REE/,Mt,
LREE,,Produced Commodity/Metal/REE/,Mt,
Dy,,Produced Commodity/Metal/REE/HREE/,,
Er,,Produced Commodity/Metal/REE/HREE/,,
Eu,,Produced Commodity/Metal/REE/HREE/,,
Gd,,Produced Commodity/Metal/REE/HREE/,,
Ho,,Produced Commodity/Metal/REE/HREE/,,
Lu,,Produced Commodity/Metal/REE/HREE/,Mt,
Tb,,Produced Commodity/Metal/REE/HREE/,,
Tm,,Produced Commodity/Metal/REE/HREE/,,
Y,,Produced Commodity/Metal/REE/HREE/,,
Yb,,Produced Commodity/Metal/REE/HREE/,,
Ce,,Produced Commodity/Metal/REE/LREE/,t,
La,,Produced Commodity/Metal/REE/LREE/,Mt,
Nd,,Produced Commodity/Metal/REE/LREE/,,
Pm,,Produced Commodity/Metal/REE/LREE/,,
Pr,,Produced Commodity/Metal/REE/LREE/,,
Sm,,Produced Commodity/Metal/REE/LREE/,,
As,,Produced Commodity/Metalloid/,t,
B,,Produced Commodity/Metalloid/,kt,
Ge,,Produced Commodity/Metalloid/,t,
Sb,,Produced Commodity/Metalloid/,kt,AIMR
Si,,Produced Commodity/Metalloid/,,
Te,,Produced Commodity/Metalloid/,t,
Br,,Produced Commodity/Non-Metal/,t,
F,,Produced Commodity/Non-Metal/,kt,AIMR
I,,Produced Commodity/Non-Metal/,t,
P,,Produced Commodity/Non-Metal/,Mt,
S,,Produced Commodity/Non-Metal/,kt,
Se,,Produced Commodity/Non-Metal/,t,
Direct Use Commodity,,,,
Produced Commodity,,,,
Total Ore,,,,
